PT,AN,DT,TI,FT,AU,BA,GP,ED,SO,VL,IS,SU,PS,PD,PY,UR,AW,NT,LA,U1,U2,AB,C1,EM,RI,OI,PU,PA,SC,SN,BN,BD,DE,TN,ST,OR,DI,UT,PM,OA,HC,HP,DA
J,ZOOR15406036038,Article,"Predictors of Bachman's Sparrow Occupancy at its Northern Range Limit.",,"Fish, Alexander C.; Moorman, Christopher E.; DePerno, Christopher S.; Schillaci, Jessica M.; Hess, George R.",,,,"Southeastern Naturalist",17,1,,104-116,2018/03/01,2018,,,,English,2,2,"Peucaea aestivalis (Bachman's Sparrow), a songbird endemic to the southeastern US, has experienced long-term population declines and a northern range-boundary retraction. Habitat loss and degradation, largely related to fire suppression, are believed to be the major causes of population declines, but these relationships are less studied at the northern range-extent. Hence, we investigated habitat selection of Bachman's Sparrow on Fort Bragg Military Installation, where vegetation is characterized by extensive fire-maintained Pinus palustris (Longleaf Pine) uplands. We surveyed breeding male sparrows using repeat-visit point-counts. We visited 182 points 3 times from April to July during the 2014 and 2015 breeding seasons. We measured vegetation and distance to other habitat features (e.g., wildlife openings, streams) at each point. We recorded presence or absence of Bachman's Sparrows and fit encounter histories into a single-season occupancy model in program Unmarked, including a year effect on detection. Occupancy probability was 0.52 and increased with greater grass-cover and at intermediate distances from wildlife openings, and decreased with years-since-fire and with greater shrub height. Predictors of Bachman's Sparrow occupancy were similar to those reported for other portions of the range, supporting the importance of frequent prescribed fire to maintain herbaceous groundcover used by birds for nesting and foraging. However, our study indicated that other habitat features (e.g., canopy openings) provided critical cover within extensive upland Longleaf Pine-Aristida stricta (Wiregrass) forest.","Fish, Alexander C.; North Carolina State Univ, Fisheries Wildlife & Conservat Biol Program, Raleigh, NC, 27695, USA, USA.",alex.c.fish@gmail.com,,,,,"Environmental Sciences & Ecology; Zoology; Forestry",1528-7092,,"Ecology; Habitat utilization; Habitat; Terrestrial habitat; Abiotic factors; Physical factors; Land zones; Nearctic region; North America; USA","Peucaea aestivalis [Habitat preference / Habitat selection / ] [Forest and woodland / Woodland / ] [Fire /  / ] [Spatial environment / Habitat structure / ] [North Carolina / Sandhills physiographic region, Fort Bragg Military Installation / ].","Birds; Chordates; Vertebrates","Animalia, Chordata, Vertebrata, Aves, Passeriformes, Emberizidae","Peucaea aestivalis (Emberizidae).",,ZOOREC:ZOOR15406036038,,,,,2018/06/21
J,ZOOR15406035067,Article,"Reed management influences philopatry to reed habitats in the Great Reed Warbler (Acrocephalus arundinaceus).",,"Mero, Thomas Oliver; Zuljevic, Antun; Varga, Katalin; Lengyel, Szabolcs",,,,Condor,120,1,,94-105,2018/02/01,2018,,,,English,7,7,"Management of reed beds primarily includes controlling water levels and removing vegetation by mowing, burning, or grazing. Although recent studies have demonstrated increased diversity and abundance of wetland specialists after reed bed management, documenting demographic benefits to individual species would add additional support to the advantages of appropriate management. Here, we explore the effects of reed management on the philopatry of Great Reed Warblers (Acrocephalus arundinaceus) over 7 yr. Reed beds were managed in the winter by occasional burning at mining ponds and large canals, infrequent burning in marshes, and frequent mowing of small canals. Based on resightings and recaptures of 1,243 adult and 1,428 nestlings individually marked at 57 sites in 6 different reed habitats, we built Cormack-Jolly-Seber models to estimate the apparent annual survival and encounter probabilities of birds banded as nestlings or as adults. Apparent survival varied in time for both age groups and both sexes, suggesting annual fluctuations in survival, whereas encounter probability remained constant across years. The encounter probability of birds banded as juveniles was higher in reed beds with shallower water. The encounter probability of birds banded as adults was higher in reed beds with deeper water for females, and strongly increased with variation in reed management and less strongly with variation in water depth for males. We also found that the few returning juveniles displayed strong philopatry to the reed habitat occupied in their first breeding season. Our study provides evidence that reed management influences the return rates of juveniles and adult males and females in different ways. Spatially variable reed management by mowing or burning should be applied and water of varying depths should be maintained to maximize return rates of Great Reed Warblers.","Mero, Thomas Oliver; Nat Protect & Study Soc NATURA, Sombor, Serbia, Serbia.",thomas.oliver.mero@gmail.com,,,,,"Environmental Sciences & Ecology; Zoology; Biodiversity & Conservation; Anatomy & Morphology; Reproductive Biology",0010-5422,,"Conservation; Conservation measures; Biometrics; Reproduction; Reproductive behaviour; Ecology; Population dynamics; Habitat; Abiotic factors; Physical factors; Land zones; Palaearctic region; Eurasia; Europe","Acrocephalus arundinaceus [Habitat management /  / ] [Age /  / ] [Sex differences /  / ] [Breeding site / Nesting site / ] [Breeding season /  / ] [Emigration / Philopatry / ] [Survival /  / ] [Habitat utilization /  / ] [Semiaquatic habitat / Reed bed habitat / ] [Depth / Water depth / ] [Serbia / Sombor / ].","Birds; Chordates; Vertebrates","Animalia, Chordata, Vertebrata, Aves, Passeriformes, Sylviidae","Acrocephalus arundinaceus (Sylviidae).",,ZOOREC:ZOOR15406035067,,,,,2018/06/21
J,ZOOR15403016311,Article,"Neuromuscular mechanisms of an elaborate wing display in the golden-collared manakin (Manacus vitellinus).",,"Fuxjager, Matthew J.; Fusani, Leonida; Goller, Franz; Trost, Lisa; Ter Maat, Andries; Gahr, Manfred; Chiver, Ioana; Iv, R. Miller Ligon; Chew, Jennifer; Schlinger, Barney A.",,,,"Journal of Experimental Biology",220,24,,4681-4688,2017/12/15,2017,,,,English,6,6,"Many species perform elaborate physical displays to court mates and compete with rivals, but the biomechanical mechanisms underlying such behavior are poorly understood. We address this issue by studying the neuromuscular origins of display behavior in a small tropical passerine bird, the golden-collared manakin (Manacus vitellinus). Males of this species court females by dancing around the forest floor and rapidly snapping their wings together above their back. Using radio-telemetry, we collected electromyographic (EMG) recordings from the three main muscles that control avian forelimb movement, and found how these different muscles are activated to generate various aspects of display behavior. The muscle that raises the wing (supracoracoideus, SC) and the primary muscle that retracts the wing (scapulohumeralis caudalis, SH) were activated during the wing-snap, whereas the pectoralis (PEC), the main wing depressor, was not. SC activation began before wing elevation commenced, with further activation occurring gradually. By contrast, SH activation was swift, starting soon after wing elevation and peaking shortly after the snap. The intensity of this SH activation was comparable to that which occurs during flapping, whereas the SC activation was much lower. Thus, light activation of the SC likely helps position the wings above the back, so that quick, robust SH activation can drive these appendages together to generate the firecracker-like snap sonation. This is one of the first looks at the neuromuscular mechanisms that underlie the actuation of a dynamic courtship display, and it demonstrates that even complex, whole-body display movements can be studied with transmitter-aided EMG techniques.","Fuxjager, Matthew J.; Wake Forest Univ, Dept Biol, Winston Salem, NC, 27109, USA, USA.",mfoxhunter@gmail.com,,,,,"Zoology; Anatomy & Morphology; Neurosciences & Neurology; Reproductive Biology",0022-0949,,"General morphology; Appendages; Musculature; Nervous system; Reproduction; Reproductive behaviour; Land zones; Neotropical region; Central America","Manacus vitellinus [Wings / Wing display / ] [Skeletal musculature / Skeletal muscles / ] [Synapses / Neuromuscular junctions / ] [Courtship /  / ] [Panama / Gamboa / ].","Birds; Chordates; Vertebrates","Animalia, Chordata, Vertebrata, Aves, Passeriformes, Pipridae","Manacus vitellinus (Pipridae).",,ZOOREC:ZOOR15403016311,29061685,,,,2018/06/21
J,ZOOR15405029076,Article,"Birds hardly contribute to transmission of fire blight in Switzerland.","Vogel tragen kaum zur Ausbreitung des Feuerbrandes in der Schweiz bei.","Birrer, Simon; Horch, Petra",,,,"Ornithologische Beobachter",114,4,,275-282,2017/12/01,2017,,,,German,0,0,"In agriculture, fire blight is a dreaded plant disease, as it can induce dieback in pome trees and cause considerable economic damage. Birds have been repeatedly mentioned as transmitters of fire blight by agricultural representatives. As a consequence, measures targeted against birds have been propagated to limit the spread of the disease. Such measures are likely to destroy potential habitats of birds and other wildlife. Habitat might be strongly reduced in quality or might even become entirely inaccessible. In a literature review, we investigated evidence for and against the spread of fire blight by birds. Scientific laboratory studies merely showed that fire blight bacteria applied to birds' feet survived up to nine days, and that fire blight bacteria can occur in faeces of Starlings. On the whole, the hypothesis that birds are regular and major transmitters of fire blight is only weakly supported. Other disease transmission routes, however, have been scientifically confirmed, or there is strong evidence for them: plant trade, contaminated cutting tools, wind, rain, and insects. We conclude that birds only play a minor role in the spread of fire blight. In quite a number of Swiss agricultural leaflets, birds are erroneously mentioned as major transmitters of fire blight. This needs to be corrected. In some of the leaflets, measures are recommended that are directly or indirectly targeted against birds. Such measures will not effectively help to reduce the spread of fire flight.","Birrer, Simon; Schweizer Vogelwarte, Seerose 1, Sempach, CH-6204, Switzerland, Switzerland.",simon.birrer@vogelwarte.ch,,,,,"Zoology; Agriculture; Biodiversity & Conservation; Environmental Sciences & Ecology; Infectious Diseases",0030-5707,,"Animals and man; Disturbance by man; Commercial activities; Conservation; Documentation; Publications; Parasites diseases and disorders; Transmission; Habitat; Man made habitat; Land zones; Palaearctic region; Eurasia; Europe","Aves [Farming and agriculture / Farming controls / epidemiology; role evaluation] [Conservation /  / ] [Literature review /  / ] [Transmission of bacteria / Erwinia amylovora / ] [Cultivated land habitat / Agricultural land / ] [Switzerland /  / ].","Birds; Chordates; Vertebrates","Animalia, Chordata, Vertebrata","Aves (Vertebrata).",,ZOOREC:ZOOR15405029076,,,,,2018/06/21
J,ZOOR15403013982,Article,"Pyric-carnivory: Raptor use of prescribed fires.",,"Hovick, Torre J.; McGranahan, Devan A.; Elmore, R. Dwayne; Weir, John R.; Fuhlendorf, Samuel D.",,,,"Ecology and Evolution",7,21,,9144-9150,2017/11/01,2017,,,,English,4,13,"Fire is a process that shaped and maintained most terrestrial ecosystems worldwide. Changes in land use and patterns of human settlement have altered fire regimes and led to fire suppression resulting in numerous undesirable consequences spanning individual species and entire ecosystems. Many obvious and direct consequences of fire suppression have been well studied, but several, albeit less obvious, costs of alteration to fire regimes on wildlife are unknown. One such phenomenon is the response of carnivores to fire events-something we refer to as pyric-carnivory. To investigate the prevalence of pyric-carnivory in raptors, we monitored 25 prescribed fires occurring during two different seasons and across two different locations in tallgrass prairie of the central United States. We used paired point counts occurring before and during prescribed fires to quantify the use of fires by raptors. We found a strong attraction to fires with average maximum abundance nearly seven times greater during fires than prior to ignitions (before: (x) over bar = 2.90, SE = 0.42; during: (x) over bar = 20.20; SE = 3.29) and an average difference between fire events and immediately before fires of 15.2 ([plus or minus]2.69) raptors. This result was driven by Swainson's hawks (Buteo swainsoni), which were the most abundant (n = 346) of the nine species we observed using fires. Our results illustrate the importance of fire as integral disturbance process that effects wildlife behavior through multiple mechanisms that are often overshadowed by the predominant view of fire as a tool used for vegetation management.","Hovick, Torre J.; North Dakota State Univ, Sch Nat Resource Sci, Fargo, ND, 58105, USA, USA.",torre.hovick@ndsu.edu,,,,,"Environmental Sciences & Ecology; Biodiversity & Conservation; Zoology; Nutrition & Dietetics; Reproductive Biology",2045-7758,,"Conservation; Nutrition; Feeding behaviour; Reproduction; Reproductive behaviour; Habitat; Terrestrial habitat; Abiotic factors; Physical factors; Land zones; Nearctic region; North America; USA","Aves; Buteo swainsoni [Conservation /  / ] [Foraging / Foraging opportunities / ] [Breeding season /  / ] [Grassland / Prairie habitat / ] [Fire /  / ] [Oklahoma /  / ].","Birds; Chordates; Vertebrates","Animalia, Chordata, Vertebrata, Aves, Falconiformes, Accipitridae","Aves (Vertebrata). Buteo swainsoni (Accipitridae).",,ZOOREC:ZOOR15403013982,29152203,gold,,,2018/06/21
J,ZOOR15312083747,Article,"Ethological and phenotypic divergence in insular fire salamanders: diurnal activity mediated by predation?",,"Velo-Anton, Guillermo; Cordero-Rivera, Adolfo",,,,"Acta Ethologica",20,3,,243-253,2017/10/01,2017,,,,English,4,17,"Phenotypic divergence can occur through both local adaptations and phenotypic plasticity in response to particular environmental pressures. Holocene land-bridge islands harbor recent isolated populations that offer an excellent natural framework to study the microevolutionary processes involved in rapid or ongoing phenotypic shifts. Two insular populations (Ons and San Martio) of Salamandra salamandra in NW Iberian Peninsula exemplify these phenotypic shifts with a rapid evolutionary transition in reproductive mode and genetic differentiation since their isolation ca. 8000 years ago. We evaluate parallel phenotypic changes in body size and behavior. In particular, we (1) collected observational fieldwork data during diurnal and nocturnal transects in both islands for over a decade (2004-2016); (2) investigated the climatic conditions associated to fire salamanders' activity; (3) compared physical condition between insular and mainland populations; and (4) used plasticine models and camera trapping to identify potential predators that might cause the observed diurnal activity in San Martio Island. Our 13-year-long study shows that salamanders from San Martio show mainly diurnal activity and are significantly smaller than salamanders from Ons and nearby continental populations. Overall, we present an exceptional case of behavior and phenotypic differentiation of an insular population of fire salamanders and suggest that this unusual behavior in the small population of San Martio might be triggered by a response to predator pressure exerted by a dense population of Rattus rattus.","Velo-Anton, Guillermo; Univ Porto, CIBIO InBIO Ctr Invest Biodiversidade & Recursos, R Padre Armando Quintas 7, Vairao, P-4485661, Portugal, Portugal.",guillermo.velo@gmail.com,,,,,"Zoology; Nutrition & Dietetics; Anatomy & Morphology; Physiology; Genetics & Heredity; Evolutionary Biology; Behavioral Sciences; Environmental Sciences & Ecology","0873-9749; 1437-9546",,"Biometrics; Whole animal physiology; Nutrition; Diet; Prey; Genetics; Evolution; Evolutionary adaptation; Behaviour; Activity patterns; Ecology; Predators; Abiotic factors; Land zones; Palaearctic region; Eurasia; Europe","Aves; Oryctolagus cuniculus; Rattus rattus [Amphibian prey / Salamandra salamandra / Predation pressure] [Spain / Ons & San Martino Islands / ]. Salamandra salamandra [Size / Body length / predation pressure] [Weight / Body weight / ] [Physiological condition / Body condition / ] [Phenotype /  / ] [ / Phenotypic plasticity / ] [Divergence /  / ] [Variation /  / ] [Circadian activity /  / ] [Avian predators /  / ] [Mammalian predators / Oryctolagus cuniculus / ] [ / Rattus rattus / ] [Abiotic factors / Environmental pressures / ] [Spain / Ons & San Martino Islands / ].","Amphibians; Birds; Chordates; Lagomorphs; Mammals; Rodents; Vertebrates","Animalia, Chordata, Vertebrata, Amphibia, Lissamphibia, Caudata, Salamandridae, Mammalia, Lagomorpha, Leporidae, Rodentia, Muridae","Aves (Vertebrata): [Predator]. Salamandra salamandra (Salamandridae): [Prey]. Oryctolagus cuniculus (Leporidae): [Predator]. Rattus rattus (Muridae): [Predator].",,ZOOREC:ZOOR15312083747,,,,,2018/06/21
J,ZOOR15312085009,"Article; Meeting paper","AVIAN ELECTROCUTIONS ON INCORRECTLY RETROFITTED POWER POLES.",,"Dwyer, James F.; Harness, Richard E.; Eccleston, Duncan",,,,"Journal of Raptor Research",51,3,,293-304,2017/09/01,2017,,,,English,7,8,"Avian electrocutions on power poles (hereafter, poles) are a global conservation concern, particularly for large-bodied species like Golden Eagles (Aquila chrysaetos). Retrofitting poles through increasing clearances (separation) between components, adding insulation to components, or adding redirection materials like perch discouragers reduces risk, but electrocutions may occur even on retrofitted poles. We evaluated 52 retrofitted poles where 56 birds, including 17 Golden Eagles, were electrocuted after retrofitting. We used burns on pole equipment and carcasses to identify precise pole-top locations where electrocutions occurred, and we identified three categories of retrofitting errors: product design, mitigation plan, and application. Product design errors (n = 9 poles, 6 Golden Eagles) occurred when products did not sufficiently cover energized equipment. Mitigation plan errors (n = 30 poles, 6 Golden Eagles) occurred when retrofitting plans did not include coverage of all energized components on a pole. Application errors (n = 13 poles, 5 Golden Eagles) occurred when the correct products were installed incorrectly. Retrofitting mistakes were identified in this study retroactively when avian electrocutions occurred on poles described as retrofitted. This is typical of how retrofitting mistakes are identified by the electric industry, which can lead to expensive duplicate efforts, and ongoing avian electrocutions. These can be avoided if retrofitting is done correctly initially. This study provides insight to electric utility personnel and wildlife managers interested in proactively evaluating the thoroughness of retrofitting, facilitating immediate identification and correction of retrofitting errors, increasing cost effectiveness, and reducing avian electrocution mortality.","Dwyer, James F.; EDM Int Inc, Ft Collins, CO, 80525, USA, USA.",jdwyer@edmlink.com,,,,,"Environmental Sciences & Ecology; Zoology; Biodiversity & Conservation",0892-1016,,"Animals and man; Disturbance by man; Commercial activities; Conservation; Ecology; Population dynamics; Habitat; Land zones; Nearctic region; North America","Aquila chrysaetos; Bubo viginianus; Buteo; Buteo jamaicensis; Corvus corax; Corvus cryptoleucus; Haliaeetus leucocephalus; Pandion haliaetus; Parabuteo unicinctus; Pica hudsonia [Industry / Power poles / ] [Conservation measures / Wildlife management / ] [Mortality / Electrocution mortality / ] [Man made habitat /  / ] [USA /  / ].","Birds; Chordates; Vertebrates","Animalia, Chordata, Vertebrata, Aves, Falconiformes, Accipitridae, Pandionidae, Passeriformes, Corvidae, Strigiformes, Strigidae","Aquila chrysaetos (Accipitridae). Buteo (Accipitridae). Buteo jamaicensis (Accipitridae). Haliaeetus leucocephalus (Accipitridae). Parabuteo unicinctus (Accipitridae). Pandion haliaetus (Pandionidae). Corvus corax (Corvidae). Corvus cryptoleucus (Corvidae). Pica hudsonia (Corvidae). Bubo viginianus (Strigidae).",10.3356/JRR-16-93.1,ZOOREC:ZOOR15312085009,,,,,2018/06/21
J,ZOOR15312082647,Article,"Environmental disturbance increases social connectivity in a passerine bird.",,"Lantz, Samantha M.; Karubian, Jordan",,,,"PLoS ONE",12,8,,e0183144,2017/08/30,2017,,,,English,4,6,"Individual level response to natural and anthropogenic disturbance represents an increasingly important, but as yet little understood, component of animal behavior. Disturbance events often alter habitat, which in turn can modify behaviors of individuals in affected areas, including changes in habitat use and associated changes in social structure. To better understand these relationships, we investigated aspects of habitat selection and social connectivity of a small passerine bird, the red-backed fairywren (Malurus melanocephalus), before vs. after naturally occurring fire disturbance in Northern Territory, Australia. We utilized a social network framework to evaluate changes in social dynamics pre-vs. post-fire. Our study covered the non-breeding season in two consecutive years in which fires occurred, and individuals whose habitat was affected and those that were not affected by fire. Individuals in habitat affected by fires had stronger social ties (i.e. higher weighted degree) after fires, while those that were in areas that were not affected by fire actually had lower weighted degree. We suggest that this change in social connections may be linked to habitat. Before fires, fairywrens used habitat that had similar grass cover to available habitat plots randomly generated within our study site. Fire caused a reduction in grass cover, and fairywrens responded by selecting habitat with higher grass cover relative to random plots. This study demonstrates how changes in habitat and/or resource availability caused by disturbance can lead to substantive changes in the social environment that individuals experience.","Lantz, Samantha M.; Tulane Univ, Dept Ecol & Evolutionary Biol, New Orleans, LA, 70118, USA, USA.",samlantz@gmail.com,,,,,"Zoology; Reproductive Biology; Behavioral Sciences; Environmental Sciences & Ecology; Forestry",1932-6203,,"Reproduction; Reproductive behaviour; Behaviour; Ecology; Population dynamics; Habitat utilization; Habitat; Terrestrial habitat; Abiotic factors; Physical factors; Land zones; Australasian region; Australasia; Australia","Malurus melanocephalus [Breeding season / Non-breeding season / ] [Social behaviour / Social interaction / ] [Population density / Abundance / ] [Habitat preference / Habitat selection / ] [Forest and woodland / Woodland / ] [Fire /  / ] [Spatial environment / Habitat structure / ] [Northern Territory / Coomalie Farm / ].","Birds; Chordates; Vertebrates","Animalia, Chordata, Vertebrata, Aves, Passeriformes, Maluridae","Malurus melanocephalus (Maluridae).",,ZOOREC:ZOOR15312082647,28854197,gold,,,2018/06/21
J,ZOOR15312074183,Article,"Long-term demography of the Northern Goshawk in a variable environment.",,"Reynolds, Richard T.; Lambert, Jeffrey S.; Flather, Curtis H.; White, Gary C.; Bird, Benjamin J.; Baggett, L. Scott; Lambert, Carrie; De Volo, Shelley Bayard",,,,"Wildlife Monographs",197,1,,1-40,2017/05/01,2017,,,,English,19,43,"The Nearctic northern goshawk (Accipiter gentilis atricapillis) is a resident of conifer, broadleaf, and mixed forests from the boreal to the southwestern montane regions of North America. We report on a 20-year mark-recapture investigation (1991-2010) of the distribution and density of breeders, temporal and spatial variability in breeding, nestling sex ratios, local versus immigrant recruitment of breeders, breeding age structure, age-specific survival rates, and rate of population change () of this species on the Kaibab Plateau, a forested sky island in northern Arizona, USA. We used an information-theoretic approach to rank models representing alternative hypotheses about the influence of annual fluctuations in precipitation on the annual frequency of goshawk breeding and fledgling production. We studied 125 goshawk breeding territories, representing approximately 87% of an estimated 144 total territories based on a mean distance of 3.8km between territory centers in a 1,728-km2 study area. The salient demographic feature of the population was extensive annual variation in breeding, which manifested as large inter-annual variation in proportions of pairs laying eggs, brood sizes, nest failure rates, and fledgling production. The percent of territories known in a prior year in which eggs were laid in a current year ranged from 8% to 86% (x=37%, SE=4.51), annual mean nest failure rate (active nests that failed) ranged from 12% to 48% (overall x=23%, SE=2.48), and mean annual brood size of successful nests (fledged 1 fledgling) ranged from 1.5 young to 2.5 young (overall x=2.0 young, SE=0.03). Inter-annual variation in reproduction closely tracked inter-annual variation in precipitation, which we hypothesize influenced primary forest productivity and bird and mammal prey abundance. The best breeding years (1992-1993, 77-87% of pairs laid eggs) were coincident with a record-long El Nino-Southern Oscillation (ENSO) wet period and the worst breeding year (2003; 8% of pairs laid eggs) was the last of a 3-year record drought. Overall breeding success was 83% with most failures occurring during incubation; once eggs hatched, goshawks tended to fledge young. The pooled 20-year nestling sex ratio did not differ from unity (53% M; n=410M, 366F) but was significantly male-biased in 2 years and female-biased in 1 year. Nonetheless, the overall greater production of male fledglings followed a strong trend of greater male production in other goshawk populations, suggesting that breeders might have been adaptively adjusting their offspring sex ratio, perhaps to produce more of the rarer (male) sex. Annual recruitment of new individuals into the breeding population averaged 43% during the study. Study area recruitment rate of hawks locally born (in situ) and banded was 0.12. Both sexes had equal tendencies to return to the Kaibab Plateau to breed (no differences in philopatry) and there were no differences in natal dispersal distances (natal to first breeding site) between the sexes. During the final years of study (1999-2010), an estimated 46% of breeding recruits were locally born and 54% were immigrants from distant forests. Minimum age at first breeding was 2 years and mean age at first breeding by known-age hawks (banded as nestlings or aged on plumage at first breeding) was 3.7 years for males and 3.5 years for females. Mean lifespan (yr from first banding as nestling to last resighting) of known-age goshawks was 6.9 years for both sexes. Mean minimum apparent lifespan of breeders aged 4 years based on plumage at first capture was 6.5 years for both sexes. Average age of goshawks at their first detection was 3.9 years old, at which time apparent survival was estimated at 0.77 for both sexes, which was just slightly less than the peak survival of 0.78 as a function of age. Age-specific survival estimates showed a steady decline after 9 years old and approached 0 at 20 years of age. Estimates of for breeding adults (M, 0.94, SE=0.037; F, 0.98, SE=0.038) provided only weak evidence for a population decline during the study. Although sex was not in the top survival model, models including age+sex were competitive, evidencing lower male than female survival, a finding corroborated by the occurrence of sex effects in the top model. Lower male survival may result from higher mortality associated with hunting agile prey in vegetation-filled environments during long breeding seasons when they are the primary forager. Lower survival may be compensated by the more frequent production (53%) of male fledglings. High-severity crown fire was an existential threat to the population. In addition to 4 large high-severity fires that burned roughly 3,770ha (equal to 3 goshawk territories) in the 30 years preceding 1991, 6 high-severity fires burned another 30,945ha during our study and killed most (>64%) of the forests in 8 known territories and possibly another 2 that were burned before we completed surveys. Based on a lack of any recent demographic perturbations in age structure, a relatively high and time-constant annual adult survival rate, confidence intervals around adult estimates overlapping 1.0, and a study area saturated with territories, we surmise that the goshawk population on the Kaibab Plateau was stable during the 20-year study. Nonetheless, uncertainty remains regarding the population's future status because of a declining trend in breeding frequency, uncertain status (dead, alive, emigrated) of non-breeding adults, extensive temporal and spatial variation in breeding, and high frequency of immigrant recruits to the breeding population on the Kaibab Plateau. If the century-long decline in precipitation persists, especially at the increased rate seen since 1980, and manifests as deeper droughts, diminished wet periods, and weaker pulses in forest productivity, then the Kaibab Plateau goshawk population would be expected to show unambiguous evidence of decline. Evidence would include reduced local and regional goshawk reproduction and survival, reduced frequency of immigration, and further habitat loss to catastrophic fire. [copyright] 2017 The Wildlife Society.","Reynolds, Richard T.; Rocky Mt Res Stn, 240 West Prospect Rd, Ft Collins, CO, 80526, USA, USA.",rreynolds@fs.fed.us,"Flather, Curtis/G-3577-2012","Flather, Curtis/0000-0002-0623-3126",,,"Zoology; Biodiversity & Conservation; Environmental Sciences & Ecology; Anatomy & Morphology; Reproductive Biology; Forestry; Meteorology & Atmospheric Sciences",0084-0173,,"Conservation; Biometrics; Reproduction; Reproductive behaviour; Ecology; Population dynamics; Recruitment; Habitat; Terrestrial habitat; Abiotic factors; Physical factors; Land zones; Nearctic region; North America; USA","Accipiter gentilis atricapillis [Conservation measures / Management implications / ] [Age /  / ] [Breeding site /  / ] [Reproductive productivity / Breeding success / ] [Population dynamics / Demography / ] [Immigration /  / ] [Forest and woodland / Forest / ] [Climate and weather / Precipitation / ] [Fire /  / ] [Arizona / Kaibab Plateau / ].","Birds; Chordates; Vertebrates","Animalia, Chordata, Vertebrata, Aves, Falconiformes, Accipitridae","Accipiter gentilis atricapillis (Accipitridae).",,ZOOREC:ZOOR15312074183,,,,,2018/06/21
J,ZOOR15311069967,Article,"Non-target impacts of weed control on birds, mammals, and reptiles.",,"Lindenmayer, David B.; Wood, Jeff; MacGregor, Christopher; Hobbs, Richard J.; Catford, Jane A.",,,,ECOSPHERE,8,5,,e01804,2017/05/01,2017,,,,English,1,13,"The impacts of invasive plant control on native animals are rarely evaluated. Using data from an eight-year study in southeastern Australia, we quantified the effects on native bird, mammal, and reptile species of (1) the abundance of the invasive Bitou Bush, Chrysanthemoides monilifera ssp. rotundata, and (2) a Bitou Bush control program, which involved repeated herbicide spraying interspersed with prescribed burning. We found that overall species richness of birds, mammals, and reptiles and the majority of individual vertebrate species were unresponsive to Bitou Bush cover and the number of plants. Two species including the nationally endangered Eastern Bristlebird (Dasyurus brachypterus) responded positively to measures of native vegetation cover following the control of Bitou Bush. Analyses of the effects of different components of the treatment protocol employed to control Bitou Bush revealed (1) no negative effects of spraying on vertebrate species richness; (2) negative effects of spraying on only one individual species (Scarlet Honeyeater); and (3) lower bird species richness but higher reptile species richness after fire. The occupancy of most individual vertebrates species was unaffected by burning; four species responded negatively and one positively to fire. Our study indicated that actions to remove Bitou Bush generally have few negative impacts on native vertebrates. We therefore suggest that controlling this highly invasive exotic plant species has only very limited negative impacts on vertebrate biota.","Lindenmayer, David B.; Australian Natl Univ, Fenner Sch Environm & Soc, Canberra, ACT, 2601, Australia, Australia.",david.lindenmayer@anu.edu.au,"Hobbs, Richard/F-5883-2010; Lindenmayer, David/P-7183-2017","Hobbs, Richard/0000-0003-4047-3147; Lindenmayer, David/0000-0002-4766-4088",,,"Environmental Sciences & Ecology; Zoology; Reproductive Biology; Developmental Biology","2150-8925; 2150-8925",,"Animals and man; Reproduction; Life cycle and development; Ecology; Population dynamics; Pollution; Chemical pollution; Abiotic factors; Chemical factors; Physical factors; Land zones; Australasian region; Australasia; Australia","Aves; Mammalia; Reptilia [Disturbance by man / Prescribed fire / impact of invasive plant control] [Reproductive productivity / Reproductive success / ] [Life cycle / Life history parameters / ] [Community structure /  / ] [Population dynamics / Abundance / ] [Mortality /  / ] [Fertilizer and pesticide pollution / Herbicides exposure / ] [Fertilizers and pesticides /  / ] [Spatial environment / Vegetation cover / ] [New South Wales / Sydney, Booderee National Park, Bherwerre Peninsula / ].","Birds; Chordates; Mammals; Reptiles; Vertebrates","Animalia, Chordata, Vertebrata","Aves (Vertebrata). Mammalia (Vertebrata). Reptilia (Vertebrata).",,ZOOREC:ZOOR15311069967,,gold,,,2018/06/21
