PT	AN	DT	TI	FT	AU	BA	GP	ED	SO	VL	IS	SU	PS	PD	PY	UR	AW	NT	LA	U1	U2	AB	C1	EM	RI	OI	PU	PA	SC	SN	BN	BD	DE	TN	ST	OR	DI	UT	PM	OA	HC	HP	DA
J	ZOOR15411078200	Article	Cross-scale occupancy dynamics of a postfire specialist in response to variation across a fire regime.		Tingley, Morgan W.; Stillman, Andrew N.; Wilkerson, Robert L.; Howell, Christine A.; Sawyer, Sarah C.; Siegel, Rodney B.				Journal of Animal Ecology	87	5		1484-1496	Sep 2018	2018				English	15	15	Fire creates challenges and opportunities for wildlife through rapid destruction, modification and creation of habitat. Fire has spatially variable effects on landscapes; however, for species that benefit from the ephemeral resource patches created by fire, it is critical to understand characteristics of fires that promote postfire colonization and persistence and the spatial scales on which they operate. Using a model postfire specialist, the black-backed woodpecker (Picoides arcticus), we examined how colonization and persistence varied across two spatial scales as a function of four characteristics of fire regimesfire severity, fire size, fire ignition date and number of years since fire. We modelled black-backed woodpecker colonization and persistence using data from 108 recently burned forests in the Sierra Nevada and southern Cascades ecoregions of California, USA, that we monitored for up to 10years following fire. We employed a novel, spatially hierarchical, dynamic occupancy framework which differentiates colonization and persistence at two spatial scales: across fires and within fires. We found strong effects of fire characteristics on dynamic rates, with colonization and persistence declining across both spatial scales with increasing years since fire. Additionally, at sites within fires, colonization decreased with fire size and increased with fire severity and for fires with later ignition dates. Our results support the notion that different aspects of a species' environment are important for population processes at different spatial scales. As habitat quality is ephemeral for any given postfire area, our results illustrate the importance of time since fire in structuring occupancy at the fire level, with other characteristics of fires playing larger roles in determining abundance within individual fires. Our results contribute to the broader understanding of how variation in fire characteristics influences the colonization and persistence of species using ephemeral habitats, which is necessary for conserving and promoting postfire biodiversity in the context of rapidly shifting fire regimes.	Tingley, Morgan W.; Univ Connecticut, Ecol & Evolutionary Biol, 75 N Eagleville Rd,Unit 3043, Storrs, CT, 06269, USA, USA.	morgan.tingley@uconn.edu		Stillman, Andrew/0000-0001-6692-380X; Tingley, Morgan/0000-0002-1477-2218			Environmental Sciences & Ecology; Zoology; Forestry	0021-8790		Techniques; Ecology; Habitat utilization; Habitat; Terrestrial habitat; Abiotic factors; Physical factors; Land zones; Nearctic region; North America; USA	Picoides arcticus [Ecological techniques / Dynamic occupancy model / ] [Habitat colonization /  / ] [Forest and woodland / Forest / ] [Fire / Wildfire / ] [California /  / ]. 	Birds; Chordates; Vertebrates	Animalia, Chordata, Vertebrata, Aves, Piciformes, Picidae	Picoides arcticus (Picidae). 		ZOOREC:ZOOR15411078200	29782655				2019-04-10
J	ZOOR15409060798	Article	Black-backed woodpecker abundance in the black hills.		Matseur, Elizabeth A.; Thompson, Frank R., III; Dickerson, Brian E.; Rumble, Mark A.; Millspaugh, Joshua J.				Journal of Wildlife Management	82	5		1039-1048	Jul 2018	2018				English	3	3	The Black Hills population of black-backed woodpeckers (Picoides arcticus) was petitioned, but deemed not warranted, to be listed as a threatened or endangered species under the Endangered Species Act and more information on their population size in the region is needed. Our objective was to map abundance and provide a population estimate of black-backed woodpeckers in the Black Hills and Bear Lodge Mountains of South Dakota and Wyoming, USA. We conducted 3,666 and 3,384 5-minute point count surveys from late-March to late-June in 2015 and 2016, respectively. We characterized vegetation around each point using geographic information system-derived landscape variables and fit 3-level hierarchical time-removal models in R package unmarked using gmultmix. The global abundance model received the most support and included year, latitude, and percent area of green trees, beetle-killed trees, dead trees, 1- to 2-year-old wildfire, 3-year-old wildfire, and 4- to 5-year-old wildfire. Points with high percent cover of beetle-killed trees had the greatest density of black-backed woodpeckers, followed by 1- to 2-year-old wildfires. After 4 years, areas burned by wildfire supported lower densities of black-backed woodpeckers than undisturbed forests. Mean density was 0.528birds/km2 in 2015 and 0.626birds/km2 in 2016. There were an estimated 2,920 and 3,439 black-backed woodpeckers in the Black Hills and Bear Lodge Mountains in 2015 and 2016, respectively. We suggest areas with high percent cover of beetle-killed trees may support high densities of black-backed woodpeckers and are important to sustaining populations when the availability of recent (<4 years old) wildfire is declining or scarce. Published 2018. This article is a U.S. Government work and is in the public domain in the USA. We suggest areas with high percent cover of beetle-killed trees may support high densities of black-backed woodpeckers in the Black Hills and Bear Lodge Mountains, South Dakota and Wyoming, 2015-2016, USA. Beetle-killed trees are important to sustaining black-backed woodpecker populations when the availability of recent (<4 years old) wildfire is declining or scarce.	Matseur, Elizabeth A.; Univ Missouri, Sch Nat Resources, 302 Nat Resources Bldg, Columbia, MO, 65211, USA, USA.	eamatseur@mail.missouri.edu					Zoology; Biodiversity & Conservation; Environmental Sciences & Ecology	0022-541X		Conservation; Ecology; Land zones; Nearctic region; North America; USA	Picoides arcticus [Conservation measures / Management implications / ] [Endangered status /  / ] [Population dynamics / Abundance / ] [South Dakota / Black Hills & Bear Lodge Mountains / ] [Wyoming /  / ]. 	Birds; Chordates; Vertebrates	Animalia, Chordata, Vertebrata, Aves, Piciformes, Picidae	Picoides arcticus (Picidae). 		ZOOREC:ZOOR15409060798					2019-04-10
J	ZOOR15410069082	Article	The persistence of Black-backed Woodpeckers following delayed salvage logging in the Sierra Nevada.		Tarbill, Gina L.; White, Angela M.; Manley, Patricia N.				Avian Conservation and Ecology	13	1		16	Jun 2018	2018				English	3	3	The Black-backed Woodpecker (Picoides arcticus) is a snag-associated species that colonizes and utilizes patches of burned forests typically within 10 years of fire. Previous research has indicated that salvage logging, the removal of dead and dying trees from burned forests, has a negative effect on nesting densities of Black-backed Woodpeckers. One strategy proposed to ameliorate the impacts of dead tree removal on Black-backed Woodpeckers is to retain patches, or islands, of dense snags within the salvage matrix, but this approach remains largely untested. Following the Angora fire of South Lake Tahoe, CA several snag islands were retained within the larger salvage prescription to conserve habitat for Black-backed Woodpeckers and other snag-associated species. In this observational study, we evaluate whether these snag islands were effective at maintaining Black-backed Woodpecker populations following logging operations that covered 45% of the burned area. We systematically searched the postfire landscape for Black-backed Woodpecker nests for two years before and after salvage operations and compared nesting densities between logged and unlogged areas. Similar to other studies, we found that nest densities at the stand scale declined significantly in areas that were salvage logged, but Black-backed Woodpeckers did nest in both snag islands and in other peripheral unlogged areas, indicating that this approach may help balance habitat for wildlife with management needs at the scale of the fire. In this study, the removal of dead trees, which is usually implemented in the first two years following fire, did not occur until the fourth year, which may have also contributed to the persistence of Black-backed Woodpeckers postlogging.	Tarbill, Gina L.; 1731 Res Pk Dr, Davis, CA, 95618, USA, USA.	ginatarbill@fs.fed.us					Forestry; Zoology; Environmental Sciences & Ecology; Biodiversity & Conservation; Reproductive Biology			Animals and man; Disturbance by man; Commercial activities; Conservation; Conservation measures; Reproduction; Reproductive behaviour; Ecology; Animal constructions; Land zones; Nearctic region; North America; USA	Picoides arcticus [Forestry / Salvage logging / ] [Habitat management /  / ] [Breeding season /  / ] [Nests / Nest density / ] [California / Lake Tahoe / ]. 	Birds; Chordates; Vertebrates	Animalia, Chordata, Vertebrata, Aves, Piciformes, Picidae	Picoides arcticus (Picidae). 		ZOOREC:ZOOR15410069082		DOAJ Gold			2019-04-10
J	ZOOR15405031093	Article	Harvesting interacts with climate change to affect future habitat quality of a focal species in eastern Canada's boreal forest.		Tremblay, Junior A.; Boulanger, Yan; Cyr, Dominic; Taylor, Anthony R.; Price, David T.; St-Laurent, Martin-Hugues				PLoS ONE	13	2		e0191645	Feb 7 2018	2018				English	7	26	Many studies project future bird ranges by relying on correlative species distribution models. Such models do not usually represent important processes explicitly related to climate change and harvesting, which limits their potential for predicting and understanding the future of boreal bird assemblages at the landscape scale. In this study, we attempted to assess the cumulative and specific impacts of both harvesting and climate-induced changes on wildfires and standlevel processes (e.g., reproduction, growth) in the boreal forest of eastern Canada. The projected changes in these landscape-and stand-scale processes (referred to as "drivers of change") were then assessed for their impacts on future habitats and potential productivity of black-backed woodpecker (BBWO; Picoides arcticus), a focal species representative of deadwood and old-growth biodiversity in eastern Canada. Forest attributes were simulated using a forest landscape model, LANDIS-II, and were used to infer future landscape suitability to BBWO under three anthropogenic climate forcing scenarios (RCP 2.6, RCP 4.5 and RCP 8.5), compared to the historical baseline. We found climate change is likely to be detrimental for BBWO, with up to 92% decline in potential productivity under the worst-case climate forcing scenario (RCP 8.5). However, large declines were also projected under baseline climate, underlining the importance of harvest in determining future BBWO productivity. Present-day harvesting practices were the single most important cause of declining areas of old-growth coniferous forest, and hence appeared as the single most important driver of future BBWO productivity, regardless of the climate scenario. Climate-induced increases in fire activity would further promote young, deciduous stands at the expense of old-growth coniferous stands. This suggests that the biodiversity associated with deadwood and old-growth boreal forests may be greatly altered by the cumulative impacts of natural and anthropogenic disturbances under a changing climate. Management adaptations, including reduced harvesting levels and strategies to promote coniferous species content, may help mitigate these cumulative impacts.	Tremblay, Junior A.; Environm & Climate Change Canada, Sci & Technol Branch, Quebec City, PQ, Canada, Canada.	junior.tremblay@canada.ca		Tremblay, Junior A./0000-0003-4930-0939			Biodiversity & Conservation; Zoology; Environmental Sciences & Ecology; Forestry; Meteorology & Atmospheric Sciences	1932-6203		Conservation; Conservation measures; Ecology; Habitat; Terrestrial habitat; Abiotic factors; Physical factors; Land zones; Nearctic region; North America; Canada	Picoides arcticus [Habitat management /  / ] [Productivity /  / ] [Forest and woodland / Boreal forest / ] [Climate and weather / Climate change / ] [Fire /  / ] [Spatial environment /  / ] [Quebec / Center / ]. 	Birds; Chordates; Vertebrates	Animalia, Chordata, Vertebrata, Aves, Piciformes, Picidae	Picoides arcticus (Picidae). 		ZOOREC:ZOOR15405031093	29414989	DOAJ Gold, Green Published			2019-04-10
J	ZOOR15403018664	Article	Magellanic Woodpeckers in three national parks of central-southern Chile: habitat effects and population variation over the last two decades.		Vergara, Pablo M.; Meneses, Luis O.; Saavedra, Marcelo; Diaz, Felipe E.; Norambuena, Katherine; Fierro, Andres; Rodewald, Amanda D.; Soto, Gerardo E.				Avian Conservation and Ecology	12	2		15	Dec 2017	2017				English	0	6	A major challenge for protected areas is providing wildlife with enough suitable habitat to cope with stochastic environment and increased pressure from the surrounding landscapes. In this study, we addressed changes in local populations of Magellanic Woodpeckers (Campephilus magellanicus) occupying three national parks of central-southern Chile. We compared the breeding and postbreeding abundance of woodpeckers during the 1990s with the present (2016) abundance (n = 4 years), and assessed the extent to which abundance was explained by forest type and quality of foraging habitat (as quantified through the plant senescence reflectance index; PSRI). Results show a distinctive temporal variation in woodpecker abundance at each park, with local populations of Magellanic Woodpeckers declining by 42.2% in Conguillio National Park, but increasing by 34.3% in Nahuelbuta National Park. Woodpeckers responded to forest conditions within each park such that their abundance increased with high quality of foraging habitat, i. e., large PSRI values, and the presence of old-growth Monkey puzzle (Araucaria araucana) -Nothofagus pumilio mixed forest. Anecdotal evidence suggests that populations of woodpeckers in Conguillio National Park might have responded negatively to large-scale disturbances from recent forest fires affecting part of the forest area within park. Because stochastic events seemed to strongly mediate population changes, our findings suggest that regional conservation of Magellanic Woodpeckers requires expanding the current conservation area network in central-southern Chile.	Vergara, Pablo M.; Ave Libertador Bernardo OHiggins 3363, Santiago, Chile, Chile.	pablo.vergara@usach.cl		Soto, Gerardo/0000-0002-9706-6588			Environmental Sciences & Ecology; Biodiversity & Conservation; Zoology; Nutrition & Dietetics			Conservation; Conservation measures; Nutrition; Feeding behaviour; Ecology; Population dynamics; Habitat utilization; Abiotic factors; Land zones; Neotropical region; South America	Campephilus magellanicus [National parks and reserves / National parks / ] [Food availability / Prey availability / ] [Foraging /  / ] [Population density / Breeding population abundance / ] [Population structure / Population changes / ] [Habitat preference / Habitat suitablity / ] [Abiotic factors / Habitat variables / ] [Chile / La Araucania / ]. 	Birds; Chordates; Vertebrates	Animalia, Chordata, Vertebrata, Aves, Piciformes, Picidae	Campephilus magellanicus (Picidae). 		ZOOREC:ZOOR15403018664		DOAJ Gold			2019-04-10
J	ZOOR15311070965	Article	Ecological restoration in boreal forest modifies the structure of bird assemblages.		Versluijs, Martijn; Eggers, Sonke; Hjalten, Joakim; Lofroth, Therese; Roberge, Jean-Michel				Forest Ecology and Management	401			75-88	Oct 1 2017	2017				English	7	65	Ecological restoration is increasingly recognised as a useful tool for biodiversity conservation in boreal forests. Most restoration methods in this environment aim to emulate natural disturbances, and thereby promote the development of key ecological structures. However, research about forest ecosystem restoration is still in its infancy and the responses of many boreal species groups remain to be described. We established a large-scale field experiment to evaluate the short-term effects of two restoration treatments - prescribed burning and gap cutting involving the creation of dead wood - on breeding bird assemblages in boreal Sweden. We censused breeding birds using territory mapping during two years in forest stands subjected to the two restoration treatments, in untreated controls and in old-growth references (nature reserves) (n = 10 per treatment). Averaged over the two census years, we found 1145 territories of 36 bird species. Total bird species richness and abundance did not differ among treatments. However, prescribed burning led to clear changes in the structure of the bird assemblages. When dividing species according to four functional categorizations (migration, foraging, nesting and successional stage), we found that the abundance of long-distance migrants, ground breeders, strong cavity excavators and species preferring early-successional habitat was higher in burned stands than in untreated controls and gap-cut stands, as was the species richness of bark feeders and strong cavity excavators. In contrast, abundance of off-ground breeders and species richness of crown feeders were lower following prescribed burning than in the controls. The gap cutting treatment did not have any significant effects on the bird assemblages. Ecological restoration through prescribed burning can be a useful tool for the conservation of boreal forest birds, including the ecologically important strong cavity excavators (i.e. woodpeckers (Picidae)). Forest managers should therefore be encouraged to use prescribed burning as a restoration tool to quickly provide habitat for bird species adapted to natural disturbances in boreal forest. (C) 2017 Elsevier B.V. All rights reserved.	Versluijs, Martijn; Swedish Univ Agr Sci, Dept Wildlife Fish & Environm Studies, Umea, S-90183, Sweden, Sweden.	martijn.versluijs@slu.se	Roberge, Jean-Michel/C-2953-2008	Roberge, Jean-Michel/0000-0003-4149-5137; Johansson, Therese/0000-0002-5864-2669; Versluijs, Martijn/0000-0001-8156-9124			Environmental Sciences & Ecology; Zoology; Biodiversity & Conservation; Nutrition & Dietetics; Reproductive Biology; Behavioral Sciences; Forestry; Meteorology & Atmospheric Sciences	0378-1127		Conservation; Conservation measures; Nutrition; Feeding behaviour; Reproduction; Behaviour; Ecology; Population dynamics; Habitat utilization; Habitat; Terrestrial habitat; Abiotic factors; Physical factors; Land zones; Palaearctic region; Eurasia; Europe	Aves [Conservation measures / Management implications / ] [Habitat management / Habitat restoration / ] [Foraging /  / ] [Reproductive behaviour / Nesting behaviour / ] [Territoriality / Territory / ] [Migration /  / ] [Community structure /  / ] [Population censuses /  / ] [Population density / Abundance / ] [Succession in habitats /  / ] [Forest and woodland / Forest / ] [Climate and weather / Weather / ] [Spatial environment / Landscape structure / ] [Sweden / North / ]. 	Birds; Chordates; Vertebrates	Animalia, Chordata, Vertebrata	Aves (Vertebrata). 		ZOOREC:ZOOR15311070965					2019-04-10
J	ZOOR15308049808	Article	Northern flickers only work when they have to: how individual traits, population size and landscape disturbances affect excavation rates of an ecosystem engineer.		Wiebe, Karen L.				Journal of Avian Biology	48	3		431-438	Mar 2017	2017				English	2	10	Woodpeckers are considered ecosystem engineers because they excavate tree cavities which are used subsequently by many species of secondary cavity nesters for breeding. Woodpeckers have the choice of excavating a new hole or reusing an existing one, and this propensity to excavate (e) may affect community dynamics but has rarely been investigated. Using 18 years of data on a population of northern flickers Colaptes auratus, I tested six hypotheses to explain the propensity to excavate (e) in a landscape which experienced two types of disturbance: pine beetles and wildfires. Woodpecker age, breeding experience and mate retention had little influence on e which varied between 13-39% annually and averaged 23% for 1843 first nests over the 18 yr. Body size and body condition of males and females were not associated with e but rates of excavation declined seasonally, suggesting time rather than energy costs limited excavation effort. Reduced cavity availability mediated through high conspecific density coupled with wildfires triggered relatively high excavation rates, up to 39% but e decreased to baseline levels three years after the landscape disturbances. Nearly 2/3 of males did not excavate in their lifetime but apparently, e is great enough to balance the average rate of cavity tree loss in this forest which is 11% annually. Excavation propensity in flickers is flexible, but the birds reduce their work levels if there is a surplus of holes available.	Wiebe, Karen L.; Univ Saskatchewan, Dept Biol, Saskatoon, SK, Canada, Canada.	karen.wiebe@usask.ca					Zoology; Nutrition & Dietetics; Reproductive Biology; Environmental Sciences & Ecology	0908-8857		Nutrition; Reproduction; Reproductive behaviour; Ecology; Population dynamics; Animal constructions; Abiotic factors; Land zones; Nearctic region; North America; Canada	Colaptes auratus [Energy budget / Energy cost / ] [Pair formation / Mate choice / ] [Population density / Breeding density / ] [Population size /  / ] [Nests / Nest hole / ] [Abiotic factors / Landscape disturbances / ] [British Columbia /  / ]. 	Birds; Chordates; Vertebrates	Animalia, Chordata, Vertebrata, Aves, Piciformes, Picidae	Colaptes auratus (Picidae). 		ZOOREC:ZOOR15308049808					2019-04-10
J	ZOOR15301002521	Article	Burn regime matters: A review of the effects of prescribed fire on vertebrates in the longleaf pine ecosystem.		Darracq, Andrea K.; Boone, Wesley W.; McCleery, Robert A.				Forest Ecology and Management	378			214-221	Oct 15 2016	2016				English	16	141	A clear understanding of how management influences vertebrate biodiversity is critical for the conservation of rare ecosystems, such as the longleaf pine (Pinus palustris) ecosystem in the southeastern United States: We used scientific literature to assess how vertebrate use of the longleaf pine ecosystem (High or low) differed in response to high (1-3 years), moderate (>3-5 years), and low (>5 years) burn frequencies. For all species combined, we found that the number of high use (HU) species associated with moderately burned forests (n = 140) was 22% and 33% greater than in high (n = 115) and low burn (n = 105) frequency forests, respectively. This pattern was most clear for Ayes and Reptilia. Specifically, the number of HU species associated with moderate burn frequencies (Aves - n = 69; Reptilia - n = 36) was 21% and 25% greater for Ayes and 56 and 63% greater for Reptilia than high (Ayes - n = 57; Reptilia - n = 23) and low burn frequencies (Ayes - n = 55; Reptilia - n = 22), respectively. We found no difference in the number of HU species across burn frequencies for Amphibia or Mammalia. For species considered longleaf pine specialists, across all vertebrate taxa the number of HU species was associated with areas of high and moderate burn frequencies. We posit that moderate burn frequencies had the greatest number of HU species because of requirements for multiple habitat types, structural diversity, and habitat components that are reduced in, or not provided by, areas with high burn frequencies. If conservation of specific longleaf pine specialists that rely on habitat created by high fire frequencies (e.g. Red-cockaded woodpeckers) is the objective, we suggest managing with high burn frequencies at the local scale. Conversely, if management objectives include maximizing wildlife diversity, managers should use a more variable fire regime across the landscape, from annual to less frequent 5 year burn intervals, to maintain localized patches of oaks and increase the compositional and structural diversity within the system. (C) 2016 Elsevier B.V. All rights reserved.	Darracq, Andrea K.; Univ North Georgia, Dept Biol, 151 Sunset Blvd, Dahlonega, GA, 30597, USA, USA.	aklong@ung.edu		McCleery, Robert/0000-0001-7018-005X			Biodiversity & Conservation; Environmental Sciences & Ecology; Zoology; Forestry	0378-1127		Conservation; Conservation measures; Ecology; Community structure; Population dynamics; Habitat; Terrestrial habitat; Abiotic factors; Physical factors; Land zones; Nearctic region; North America	Amphibia; Aves; Mammalia; Reptilia [Habitat management /  / ] [Species diversity /  / ] [Population size / Abundance / ] [Habitat utilization /  / ] [Forest and woodland / Longleaf pine forest / ] [Fire / Prescribed fire / ] [USA / South east / ]. 	Amphibians; Birds; Chordates; Mammals; Reptiles; Vertebrates	Animalia, Chordata, Vertebrata	Amphibia (Vertebrata). Aves (Vertebrata). Mammalia (Vertebrata). Reptilia (Vertebrata). 		ZOOREC:ZOOR15301002521					2019-04-10
J	ZOOR15210064211	Article	An integrated occupancy and space-usemodel to predict abundance of imperfectly detected, territorial vertebrates.		Tingley, Morgan W.; Wilkerson, Robert L.; Howell, Christine A.; Siegel, Rodney B.				Methods in Ecology and Evolution	7	5		508-517	May 2016	2016				English	1	28	1. It is often highly desirable to know not only where species are likely to occur (i.e. occupancy) but also how many individuals are supported by a given habitat (i.e. density). For many animals, occupancy and density may be determined by distinct ecological processes. 2. Here we develop a novel abundance model as the product of landscape-scale occupancy probability and habitat-scale density given occupancy. One can conceptualize our model as fully packing a landscape with home ranges or territories based on habitat quality, and then subtracting territories based on a probabilistic process that accounts for the fact that species rarely exhibit full occupancy across heterogeneous landscapes. The model is designed to predict abundance at fine spatial scales, using resolutions equal to or smaller than a single home range or territory. 3. We demonstrate this model on the Black-backed Woodpecker (Picoides arcticus), a species of management concern linked to post-fire forests. Occupancy is derived from a regional monitoring effort, while density given occupancy comes from a telemetry study of variation in territory size. A Bayesian framework is used to combine independent occupancy and home-range size models and predict abundance of Black-backed Woodpeckers at 4 fires that burned in 2012 or 2013. Predictions are evaluated with independently collected survey data, showing that the model is successful at predicting both absolute abundance at fires as well as relative abundance within and among fires. 4. The conceptual model presents a promising new framework for fine-scale modelling of density and abundance for other territorial yet elusive species. Telemetry and occupancy data are widely collected for many species, but rarely utilized in combination, and the ecological exploration of the factors that determine occurrence versus home-range size may provide useful biological insight. As applied to the Black-backed Woodpecker, the model provides a tool for resource managers to explore trade-offs in retaining burned forest habitat versus managing for other post-fire goals, such as salvage logging or reforestation efforts that require snag removal.	Tingley, Morgan W.; Univ Connecticut, Ecol & Evolutionary Biol, 75 N Eagleville Rd,Unit 3043, Storrs, CT, 06269, USA, USA.	morgan.tingley@uconn.edu		Tingley, Morgan/0000-0002-1477-2218			Environmental Sciences & Ecology; Biodiversity & Conservation; Zoology; Behavioral Sciences; Forestry			Conservation; Conservation measures; Techniques; Behaviour; Ecology; Population dynamics; Habitat; Terrestrial habitat; Abiotic factors; Physical factors; Land zones; Nearctic region; North America; USA	Picoides arcticus [Habitat management /  / ] [Ecological techniques / Bayesian model / ] [Home range /  / ] [Population density / Abundance / ] [Forest and woodland / Forest / ] [Fire /  / ] [California /  / ]. 	Birds; Chordates; Vertebrates	Animalia, Chordata, Vertebrata, Aves, Piciformes, Picidae	Picoides arcticus (Picidae). 		ZOOREC:ZOOR15210064211		Bronze			2019-04-10
J	ZOOR15204027006	Article	Foraging plasticity by a keystone excavator, the white-headed woodpecker, in managed forests: Are there consequences for productivity?		Lorenz, Teresa J.; Vierling, Kerri T.; Kozma, Jeffrey M.; Millard, Janet E.				Forest Ecology and Management	363			110-119	Mar 1 2016	2016				English	2	49	Information on the foraging ecology of animals is important for conservation and management, particularly for keystone species whose presence affects ecosystem health. We examined foraging by an at-risk cavity excavator, the white-headed woodpecker (Picoides albolarvatus). The foraging needs of this species are used to inform management of ponderosa pine (Pinus ponderosa) forests in some areas of western North America. Past observational studies indicated that white-headed woodpeckers forage predominately on cones and trunks of large-diameter (>68 cm) pines in old-growth stands, although habitat selection while foraging has not been formally examined. We used radio telemetry to track forage substrate use among 37 adult, breeding woodpeckers for 176 h (10,576 min) in forest stands that had been recently thinned and/or burned with prescribed fire. We used discrete choice models to examine forage site selection and multinomial regression to examine consequences of foraging on nest productivity. Woodpeckers foraged on more than ten individual substrates and switched substrates seasonally, presumably to take advantage of prey availability. Dead wood and fir foliage were used commonly in the nesting period (86% and 68% of foraging, respectively), whereas pine foliage and trunk foraging dominated in the fledgling (66% of foraging) and post-fledgling periods (73% of foraging). Average size of used trees was 49 cm ([plus or minus]20 cm) and pine cones were rarely used (4% of foraging). During the nesting period, substrate use ([chi]2 = 1.49, df = 4, P = 0.83) and distances traveled from nests for foraging did not affect productivity (F(3,16) = 0.61, P = 0.62), which was high even for birds with the longest (2.1 km) and shortest (0.39 km) maximum forage distances. Habitats selected for foraging matched substrate use, and woodpeckers selected areas with low basal areas of live trees in the nesting period, but high basal areas in the post-nesting period. The variable foraging that we observed suggests that white-headed woodpeckers are plastic in their foraging in managed forests, and this plasticity has no negative consequences for productivity. Published by Elsevier B.V.	Lorenz, Teresa J.; US Forest Serv, USDA, 3625 93rd Ave SW, Olympia, WA, 98512, USA, USA.	tlorenz@fs.fed.us	Vierling, Kerri/N-6653-2016				Biodiversity & Conservation; Zoology; Environmental Sciences & Ecology; Nutrition & Dietetics	0378-1127		Conservation; Techniques; Nutrition; Feeding behaviour; Land zones; Nearctic region; North America; USA	Picoides albolarvatus [Conservation measures / Wildlife management / ] [Ecological techniques / Ecological modelling / ] [Foraging /  / ] [Washington / Cascade Range, east / ]. 	Birds; Chordates; Vertebrates	Animalia, Chordata, Vertebrata, Aves, Piciformes, Picidae	Picoides albolarvatus (Picidae). 		ZOOREC:ZOOR15204027006					2019-04-10
